Book,Author,Dept Name
Shigley's Mechanical Engineering Design,"Richard G. Budynas, J. Keith Nisbett",Mechanical Engineering
Engineering Book 969,Unknown Author,Biomedical Engineering
Engineering Book 970,Unknown Author,Aerospace Engineering
Engineering Book 971,Unknown Author,Environmental Engineering
Shigley's Mechanical Engineering Design,"Richard G. Budynas, J. Keith Nisbett",Mechanical Engineering
Heat Transfer,J.P. Holman,Mechanical Engineering
Engineering Book 974,Unknown Author,Environmental Engineering
Engineering Book 975,Unknown Author,Civil Engineering
Engineering Book 976,Unknown Author,Environmental Engineering
Engineering Book 977,Unknown Author,Chemical Engineering
Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma et al.,Computer Science
Engineering Book 979,Unknown Author,Biomedical Engineering
Engineering Book 980,Unknown Author,Biomedical Engineering
Engineering Book 981,Unknown Author,Environmental Engineering
Engineering Book 982,Unknown Author,Civil Engineering
Engineering Book 983,Unknown Author,Environmental Engineering
Engineering Book 984,Unknown Author,Environmental Engineering
Engineering Book 985,Unknown Author,Aerospace Engineering
Microelectronic Circuits,"Adel S. Sedra, Kenneth C. Smith",Electrical Engineering
Engineering Book 987,Unknown Author,Chemical Engineering
Engineering Book 988,Unknown Author,Environmental Engineering
Introduction to the Theory of Computation,Michael Sipser,Computer Science
Engineering Book 990,Unknown Author,Environmental Engineering
Engineering Book 991,Unknown Author,Civil Engineering
Engineering Book 992,Unknown Author,Civil Engineering
Engineering Book 993,Unknown Author,Environmental Engineering
Engineering Book 994,Unknown Author,Environmental Engineering
Engineering Book 995,Unknown Author,Biomedical Engineering
Engineering Book 996,Unknown Author,Industrial Engineering
Introduction to the Theory of Computation,Michael Sipser,Computer Science
Engineering Book 998,Unknown Author,Environmental Engineering
Engineering Book 999,Unknown Author,Environmental Engineering
